timestamp,value,demand,rarity,last_change,stability
2026-07-11T13:21:38Z,0.02,2,3,0,Stable
2026-07-11T19:38:51Z,0.02,2,3,0,Stable
2026-07-11T20:12:54Z,0.02,2,3,0,Stable
2026-07-11T21:00:00Z,0.02,2,3,0,Stable
2026-07-12T06:00:00Z,0.02,2,3,0,Stable
2026-07-12T09:00:00Z,0.02,2,3,0,Stable
2026-07-12T12:00:00Z,0.02,2,3,0,Stable
2026-07-12T15:00:00Z,0.02,2,3,0,Stable
2026-07-12T18:00:00Z,0.02,2,3,0,Stable
2026-07-12T21:00:00Z,0.02,2,3,0,Stable
2026-07-13T06:00:00Z,0.02,2,3,0,Stable
2026-07-13T09:00:00Z,0.02,2,3,0,Stable
2026-07-13T12:00:00Z,0.02,2,3,0,Stable
2026-07-13T15:00:00Z,0.02,2,3,0,Stable
2026-07-13T18:00:00Z,0.02,2,3,0,Stable
2026-07-13T21:00:00Z,0.02,2,3,0,Stable
2026-07-14T06:00:00Z,0.02,2,3,0,Stable
2026-07-14T09:00:00Z,0.02,2,3,0,Stable
2026-07-14T12:00:00Z,0.02,2,3,0,Stable
2026-07-14T15:00:00Z,0.02,2,3,0,Stable
2026-07-14T18:00:00Z,0.02,2,3,0,Stable
2026-07-14T21:00:00Z,0.02,2,3,0,Stable
2026-07-15T06:00:00Z,0.02,2,3,0,Stable
2026-07-15T09:00:00Z,0.02,2,3,0,Stable
2026-07-15T12:00:00Z,0.02,2,3,0,Stable
2026-07-15T15:00:00Z,0.02,2,3,0,Stable
2026-07-15T18:00:00Z,0.02,2,3,0,Stable
2026-07-15T21:00:00Z,0.02,2,3,0,Stable
2026-07-16T06:00:00Z,0.02,2,3,0,Stable
2026-07-16T09:00:00Z,0.02,2,3,0,Stable
2026-07-16T12:00:00Z,0.02,2,3,0,Stable
2026-07-16T15:00:00Z,0.02,2,3,0,Stable
2026-07-16T18:00:00Z,0.02,2,3,0,Stable
2026-07-16T21:00:00Z,0.02,2,3,0,Stable
2026-07-17T06:00:00Z,0.02,2,3,0,Stable
2026-07-17T09:00:00Z,0.02,2,3,0,Stable
2026-07-17T12:00:00Z,0.02,2,3,0,Stable
2026-07-17T15:00:00Z,0.02,2,3,0,Stable
2026-07-17T18:00:00Z,0.02,2,3,0,Stable
2026-07-17T21:00:00Z,0.02,2,3,0,Stable
2026-07-18T06:00:00Z,0.02,2,3,0,Stable
2026-07-18T09:00:00Z,0.02,2,3,0,Stable
